,population, density, GDP_pc,Lat,Long,Intervention
0,58500000,310.0,9179,30.9756,112.2707,1.0
1,60317116,201.0,40470,43.0,12.0,37.0
2,46751619,92.0,43077,40.0,-4.0,29.0
3,83149300,232.0,52559,51.0,9.0,47.0
4,83183741,48.0,17662,32.0,53.0,14.0
5,67076000,116.0,48640,46.2276,2.2137,49.0
6,8570146,207.0,67558,46.8182,8.2275,18.0
7,67886004,270.0,46827,55.3781,-3.4360000000000004,50.0
8,5367580,13.9,79638,60.472,8.4689,15.0
9,6963764,89.0,19767,44.0165,21.0059,12.0
10,10768477,82.0,31616,39.0742,21.8243,13.0
11,7000039,63.0,26034,42.7339,25.4858,15.0
12,9772756,105.1,35941,47.1625,19.5033,12.0
13,
