Economy Name,Dealing with construction permits (DB16-20 methodology) - Score,Dealing with construction permits: Building quality control index (0-15) (DB16-20 methodology),Dealing with construction permits: Building quality control index (0-15) (DB16-20 methodology) - Score,Dealing with construction permits: Cost (% of Warehouse value),Dealing with construction permits: Cost (% of Warehouse value) - Score,Dealing with construction permits: Liability and insurance regimes index (0-2) (DB16-20 methodology),Dealing with construction permits: Procedures (number),Dealing with construction permits: Procedures (number) - Score,Dealing with construction permits: Professional certifications index (0-4) (DB16-20 methodology),Dealing with construction permits: Quality control after construction index (0-3) (DB16-20 methodology),Dealing with construction permits: Quality control before construction index (0-1) (DB16-20 methodology),Dealing with construction permits: Quality control during construction index (0-3) (DB16-20 methodology),Dealing with construction permits: Quality of building regulations index (0-2) (DB16-20 methodology),Dealing with construction permits: Time (days),Dealing with construction permits: Time (days)  - Score,Enforcing contracts (DB17-20 methodology) - Score,Enforcing contracts: Alternative dispute resolution (0-3) (DB16-20 methodology),Enforcing contracts: Attorney fees (% of claim),Enforcing contracts: Case management (0-6) (DB16-20 methodology),Enforcing contracts: Cost (% of claim),Enforcing contracts: Cost (% of claim) - Score,Enforcing contracts: Court automation (0-4) (DB17-20 methodology),Enforcing contracts: Court fees (% of claim),Enforcing contracts: Court structure and proceedings (0-5) (DB17-20 methodology),Enforcing contracts: Enforcement fees (% of claim),Enforcing contracts: Enforcement of judgment (days),Enforcing contracts: Filing and service (days),Enforcing contracts: Quality of the judicial processes index (0-18) (DB17-20 methodology),Enforcing contracts: Quality of the judicial processes index (0-19) (DB17-20 methodology) - Score,Enforcing contracts: Trial and judgment (days),Getting Credit total score (DB15-20 methodology),Getting credit (DB15-20 methodology) - Score,Getting credit: Credit bureau coverage (% of adults),Getting credit: Credit registry coverage (% of adults),Getting credit: Depth of credit information index (0-8) (DB15-20 methodology),Getting credit: Depth of credit information index (0-8) (DB15-20 methodology) - Score,Getting credit: Strength of legal rights index (0-12) (DB15-20 methodology),Getting credit: Strength of legal rights index (0-12) (DB15-20 methodology) - Score,Getting electricity (DB16-20 methodology) - Score,Getting electricity: Communication of tariffs and tariff changes (0-1) (DB16-20 methodology),Getting electricity: Cost to get electricity (% of income per capita),Getting electricity: Cost to get electricity (% of income per capita) - Score,Getting electricity: Financial deterrents aimed at limiting outages (0-1) (DB16-20 methodology),Getting electricity: Mechanisms for monitoring outages (0-1) (DB16-20 methodology),Getting electricity: Mechanisms for restoring service (0-1) (DB16-20 methodology),Getting electricity: Minimum outage time (in minutes)  (DB16-20 methodology),Getting electricity: Price of electricity (US cents per kWh) (DB16-20 methodology),Getting electricity: Regulatory monitoring (0-1) (DB16-20 methodology),Getting electricity: Reliability of supply and transparency of tariff index (0-8) (DB16-20 methodology),Getting electricity: Reliability of supply and transparency of tariff index (0-8) (DB16-20 methodology) - Score,Getting electricity: System average interruption duration index (SAIDI) (DB16-20 methodology),Getting electricity: System average interruption frequency index (SAIFI) (DB16-20 methodology),Getting electricity: Total duration and frequency of outages per customer a year (0-3) (DB16-20 methodology),Global: Ease of doing business score (DB17-20 methodology),Other taxes (% of profits),Paying taxes (DB17-20 methodology) - Score,Paying taxes: Labor tax and contributions (% of profits),Paying taxes: Payments (number per year),Paying taxes: Payments per year (number per year) - Score,Paying taxes: Postfiling index (0-100) (DB17-20 methodology) - Score,Paying taxes: Profit tax (% of profits),Paying taxes: Time (hours per year),Paying taxes: Time (hours per year) - Score,Paying taxes: Time to complete a corporate income tax correction (weeks) (DB17-20 methodology),Paying taxes: Time to complete a corporate income tax correction (weeks) (DB17-20 methodology) - Score,Paying taxes: Time to comply with VAT refund (hours) (DB17-20 methodology),Paying taxes: Time to comply with VAT refund (hours) (DB17-20 methodology) - Score,Paying taxes: Time to comply with corporate income tax correction (hours) (DB17-20 methodology),Paying taxes: Time to comply with corporate income tax correction (hours) (DB17-20 methodology) - Score,Paying taxes: Time to obtain VAT refund (weeks) (DB17-20 methodology),Paying taxes: Time to obtain VAT refund (weeks) (DB17-20 methodology) - Score,Paying taxes: Total tax and contribution rate (% of profit),Paying taxes: Total tax and contribution rate (% of profit) - Score,Protecting minority investors (DB15-20 methodology) - Score,Protecting minority investors: Ease of shareholder suits index (0-10) (DB15-20 methodology),Protecting minority investors: Ease of shareholder suits index (0-10) (DB15-20 methodology) - Score,Protecting minority investors: Extent of corporate transparency index (0-7) (DB15-20 methodology),Protecting minority investors: Extent of corporate transparency index (0-7) (DB15-20 methodology) - Score,Protecting minority investors: Extent of director liability index (0-10),Protecting minority investors: Extent of director liability index (0-10) - Score,Protecting minority investors: Extent of disclosure index (0-10),Protecting minority investors: Extent of disclosure index (0-10) - Score,Protecting minority investors: Extent of ownership and control index (0-7) (DB15-20 methodology),Protecting minority investors: Extent of ownership and control index (0-7) (DB15-20 methodology) - Score,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology),Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,Protecting minority investors: Strength of minority investor protection index (0-50) (DB15-20 methodology),Registering property (DB17-20 methodology) - Score,Registering property: Cost (% of property value),Registering property: Cost (% of property value) - Score,Registering property: Equal access to property rights index (-2-0) (DB17-20 methodology),Registering property: Geographic coverage index (0-8) (DB16-20 methodology),Registering property: Land dispute resolution index (0-8) (DB16-20 methodology),Registering property: Quality of land administration index (0-30) (DB17-20 methodology),Registering property: Quality of land administration index (0-30) (DB17-20 methodology) - Score,Registering property: Reliability of infrastructure index (0-8) (DB16-20 methodology),Registering property: Transparency of information index (0-6) (DB16-20 methodology),Reorganization proceedings index (0-3) (DB15-20 methodology),Resolving insolvency - Score,Resolving insolvency: Commencement of proceedings index (0-3) (DB15-20 methodology),Resolving insolvency: Cost (% of estate),Resolving insolvency: Creditor participation index (0-4) (DB15-20 methodology),Resolving insolvency: Management of debtor's assets index (0-6) (DB15-20 methodology),Resolving insolvency: Outcome (0 as piecemeal sale and 1 as going concern),Resolving insolvency: Recovery rate (cents on the dollar),Resolving insolvency: Recovery rate (cents on the dollar) - Score,Resolving insolvency: Strength of insolvency framework index (0-16),Resolving insolvency: Strength of insolvency framework index (0-16) - Score,Resolving insolvency: Time (years),Starting a business - Score,Starting a business: Cost - Men (% of income per capita),Starting a business: Cost - Men (% of income per capita) - Score,Starting a business: Cost - Women (% of income per capita),Starting a business: Cost - Women (% of income per capita) - Score,Starting a business: Minimum capital (% of income per capita),Starting a business: Paid-in Minimum capital (% of income per capita) - Score,Starting a business: Procedures required - Men (number),Starting a business: Procedures required - Men (number) - Score,Starting a business: Procedures required - Women (number),Starting a business: Procedures required - Women (number) - Score,Starting a business: Time - Men (days),Starting a business: Time - Men (days) - Score,Starting a business: Time - Women (days),Starting a business: Time - Women (days)- Score,Time to export: Border compliance (hours) (DB16-20 methodology),Time to export: Documentary compliance (hours) (DB16-20 methodology),Time to import: Border compliance (hours) (DB16-20 methodology),Time to import: Documentary compliance (hours) (DB16-20 methodology),Trading across borders (DB16-20 methodology) - Score,Trading across borders: Cost to export: Border compliance (USD) (DB16-20 methodology),Trading across borders: Cost to export: Border compliance (USD) (DB16-20 methodology) - Score,Trading across borders: Cost to export: Documentary compliance (USD) (DB16-20 methodology),Trading across borders: Cost to export: Documentary compliance (USD) (DB16-20 methodology) - Score,Trading across borders: Cost to import: Border compliance (USD) (DB16-20 methodology),Trading across borders: Cost to import: Border compliance (USD) (DB16-20 methodology) - Score,Trading across borders: Cost to import: Documentary compliance (USD) (DB16-20 methodology),Trading across borders: Cost to import: Documentary compliance (USD) (DB16-20 methodology) - Score,Trading across borders: Time to export: Border compliance (hours) (DB16-20 methodology) - Score,Trading across borders: Time to export: Documentary compliance (hours) (DB16-20 methodology) - Score,Trading across borders: Time to import: Border compliance (hours) (DB16-20 methodology) - Score,Trading across borders: Time to import: Documentary compliance (hours) (DB16-20 methodology) - Score
Afghanistan,33.70269,2.5,16.66667,71.7,0.0,1.0,9.0,33.33333,0.0,0.0,1.0,0.0,0.5,1642.0,0.0,31.75645,2.0,24.0,1.0,29.0,67.49156,0.0,5.0,2.0,0.0,182.0,40.0,5.0,27.77778,1420.0,9.0,45.0,0.0,1.0,0.0,0.0,9.0,75.0,44.57528,0.0,2426.7,70.04024,0.0,1.0,0.0,,18.6,0.0,0.0,0.0,,,0.0,37.13062,71.4,41.96531,0.0,19.0,73.33333,0.0,0.0,275.0,65.06955,37.7,0.0,,,207.5,0.0,,,71.4,29.45836,10.0,3.0,30.0,0.0,0.0,1.0,10.0,1.0,10.0,0.0,0.0,0.0,0.0,5.0,27.5,5.0,66.66667,0.0,0.0,3.0,3.0,10.0,0.0,0.0,0.0,23.61883,2.0,25.0,1.0,0.0,0.0,26.5,28.48765,3.0,18.75,2.0,82.55461,82.3,58.84688,82.3,58.84688,0.0,100.0,4.0,82.35294,5.0,76.47059,8.0,92.46231,9.0,91.45729,48.0,228.0,96.0,324.0,30.63301,452.8,57.28512,344.4,13.88889,750.0,37.5,900.0,0.0,70.44025,0.0,65.94982,0.0
Albania,52.60171,13.0,86.66667,6.9,65.61912,2.0,5.0,66.66667,3.0,3.0,1.0,2.0,2.0,525.0,66.80328,54.33875,1.5,25.0,1.5,33.1,62.87964,1.0,5.7,2.0,2.4,180.0,45.0,6.0,33.33333,300.0,14.0,70.0,0.0,51.6,6.0,75.0,8.0,66.66667,64.53069,1.0,513.0,93.66623,1.0,0.0,0.0,5.0,9.1,1.0,3.0,37.5,87.18,45.9,0.0,66.8377,4.4,64.79892,18.8,35.0,46.66667,60.11142,14.0,255.0,68.16074,14.7,54.01786,9.0,82.0,18.0,69.72477,37.0,34.70307,37.3,84.25686,46.0,7.0,70.0,0.0,0.0,7.0,70.0,9.0,90.0,0.0,0.0,0.0,0.0,23.0,62.19619,9.6,35.73055,0.0,0.0,8.0,16.5,55.0,6.0,2.5,3.0,66.13072,3.0,10.0,2.0,6.0,0.0,41.6,44.76144,14.0,87.5,2.0,91.48908,12.0,94.00833,12.0,94.00833,0.0,100.0,5.0,76.47059,5.0,76.47059,5.0,95.47739,5.0,95.47739,9.0,6.0,10.0,8.0,96.29094,54.7,94.84245,10.0,97.5,77.3,93.55833,10.0,98.57143,94.96855,97.04142,96.77419,97.07113
Algeria,62.94321,12.0,80.0,8.1,59.47314,2.0,10.0,25.0,2.0,3.0,1.0,2.0,2.0,630.0,58.19672,54.78094,2.5,10.0,0.0,21.8,75.59055,0.0,7.4,3.0,4.4,219.0,21.0,5.5,30.55556,390.0,2.0,10.0,0.0,2.9,0.0,0.0,2.0,16.66667,62.01901,1.0,863.1,89.34417,0.0,1.0,1.0,3.0,2.6,1.0,5.0,62.5,5.16,9.46,1.0,46.22686,26.9,53.85141,31.1,27.0,60.0,49.77064,8.1,265.0,66.61515,0.0,100.0,,0.0,2.0,99.08257,,0.0,66.1,39.01985,20.0,5.0,50.0,0.0,0.0,1.0,10.0,4.0,40.0,0.0,0.0,0.0,0.0,10.0,43.8311,7.1,52.82838,0.0,0.0,5.0,7.0,23.33333,1.0,1.0,1.0,49.23743,3.0,7.0,1.0,2.0,0.0,50.8,54.72487,7.0,43.75,1.3,77.86347,12.5,93.74768,12.5,93.74768,0.0,100.0,12.0,35.29412,12.0,35.29412,18.0,82.41206,18.0,82.41206,80.0,149.1,327.4,248.7,27.742,592.9,44.06709,374.4,6.38889,408.8,65.93519,399.8,42.88889,50.31447,12.3415,0.0,0.0
Angola,64.57157,6.0,40.0,1.6,91.81942,1.0,6.0,58.33333,1.0,2.0,1.0,0.0,1.0,1296.0,3.60656,28.11028,2.5,22.2,1.5,44.4,50.16873,0.0,22.2,1.5,0.0,440.0,86.0,5.5,30.55556,770.0,1.0,5.0,0.0,1.9,0.0,0.0,1.0,8.33333,44.08241,0.0,989.9,87.77891,1.0,0.0,0.0,15.0,6.0,1.0,0.0,0.0,5.16,2.3,0.0,39.00774,18.6,69.5397,9.0,31.0,53.33333,94.95413,21.5,287.0,63.21484,0.0,100.0,,,7.0,89.90826,,,49.1,66.65651,32.0,6.0,60.0,0.0,0.0,6.0,60.0,4.0,40.0,0.0,0.0,0.0,0.0,16.0,42.87274,3.0,80.25491,0.0,0.0,4.0,7.0,23.33333,1.0,2.0,0.0,0.0,2.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,78.61719,17.4,91.32364,17.4,91.32364,0.0,100.0,8.0,58.82353,8.0,58.82353,36.0,64.32161,36.0,64.32161,192.0,169.0,96.0,180.0,25.28354,825.0,22.16981,240.0,40.0,1030.0,14.16667,460.0,34.28571,0.0,0.59172,65.94982,25.1046
Antigua and Barbuda,65.50013,9.0,60.0,1.6,92.00627,0.0,7.0,50.0,4.0,2.0,0.0,1.0,2.0,476.0,70.81967,68.11245,2.5,17.5,3.0,27.1,69.6288,1.5,7.0,4.5,2.6,90.0,21.0,11.5,63.88889,365.0,5.0,25.0,0.0,0.0,0.0,0.0,5.0,41.66667,80.37011,1.0,114.9,98.58191,0.0,1.0,1.0,1.0,43.2,0.0,4.0,50.0,6.5,10.5,1.0,59.79669,5.3,58.69059,10.7,57.0,10.0,69.40358,25.9,192.0,77.89799,0.0,100.0,12.0,76.0,3.0,97.24771,52.7,4.366612,41.9,77.4608,58.0,8.0,80.0,2.0,28.57143,8.0,80.0,4.0,40.0,4.0,57.14286,3.0,50.0,29.0,56.60998,10.8,27.93913,0.0,4.0,7.5,19.0,63.33333,6.0,1.5,0.0,35.26136,2.0,7.0,1.0,2.0,0.0,36.5,39.27273,5.0,31.25,3.0,81.69687,9.1,95.45435,9.1,95.45435,0.0,100.0,9.0,52.94118,9.0,52.94118,22.0,78.39196,22.0,78.39196,61.3,50.7,61.3,48.0,68.72541,546.4,48.45388,120.8,69.79167,546.4,54.46759,100.0,85.71429,62.05451,70.61144,78.37515,80.33473
Argentina,48.96341,11.0,73.33333,3.2,84.21483,1.0,7.0,50.0,2.0,3.0,1.0,2.0,2.0,995.0,28.27869,55.65691,2.0,15.0,4.0,22.5,74.80315,1.0,6.5,4.5,1.0,365.0,90.0,11.5,63.88889,540.0,10.0,50.0,80.0,44.8,8.0,100.0,2.0,16.66667,70.00576,1.0,24.5,99.69694,1.0,1.0,1.0,3.0,10.6,1.0,5.0,62.5,4.54,16.18,0.0,57.31005,72.8,49.34098,29.3,9.0,90.0,47.93578,3.9,311.5,59.42813,0.0,100.0,,0.0,6.0,91.74312,,0.0,106.0,0.0,62.0,6.0,60.0,5.0,71.42857,2.0,20.0,7.0,70.0,5.0,71.42857,6.0,100.0,31.0,56.74853,6.6,56.15681,0.0,2.0,4.0,13.5,45.0,5.0,2.5,2.0,41.24497,2.5,16.5,1.0,4.0,0.0,21.5,23.11494,9.5,59.375,2.4,73.55496,10.4,94.81104,10.4,94.81104,0.0,100.0,14.0,23.52941,14.0,23.52941,24.5,75.8794,24.5,75.8794,21.0,27.0,60.0,192.0,65.58496,150.0,85.84906,60.0,85.0,1200.0,0.0,120.0,82.85714,87.42138,84.61538,78.85305,20.08368
Armenia,67.77198,9.0,60.0,1.6,92.12538,0.0,3.0,83.33333,1.0,3.0,1.0,2.0,2.0,570.0,63.11475,66.00242,3.0,12.0,2.5,16.0,82.11474,2.0,4.0,2.0,0.0,120.0,30.0,9.5,52.77778,420.0,14.0,70.0,77.2,0.0,8.0,100.0,6.0,50.0,84.78374,1.0,78.9,99.02626,1.0,1.0,1.0,1.0,8.0,1.0,7.0,87.5,3.8,3.3,2.0,71.49433,0.8,72.48638,0.0,14.0,81.66667,49.08257,17.6,313.0,59.19629,0.0,100.0,,0.0,3.5,96.33028,,0.0,18.5,100.0,38.0,8.0,80.0,0.0,0.0,6.0,60.0,5.0,50.0,0.0,0.0,0.0,0.0,19.0,87.75886,0.2,98.90625,0.0,4.0,7.0,21.5,71.66667,6.0,4.5,2.0,43.0081,2.5,11.0,1.0,2.0,0.0,36.4,39.14121,7.5,46.875,1.9,94.34797,0.9,99.56156,0.9,99.56156,0.0,100.0,4.0,82.35294,4.0,82.35294,5.0,95.47739,5.0,95.47739,38.5,2.0,2.5,1.6,90.78383,100.0,90.56604,100.0,75.0,0.0,100.0,100.0,85.71429,76.3909,99.40828,99.44858,99.74252
Australia,84.39049,14.0,93.33333,0.9,95.60615,1.0,4.0,75.0,4.0,3.0,1.0,3.0,2.0,402.0,76.88525,79.00404,2.5,18.5,5.5,23.2,74.01575,3.0,4.5,4.5,0.2,60.0,14.0,15.5,86.11111,328.0,18.0,90.0,100.0,0.0,7.0,87.5,11.0,91.66667,82.30764,1.0,12.4,99.84652,1.0,1.0,1.0,1.0,17.2,1.0,7.0,87.5,1.27,0.7,2.0,80.76007,0.4,85.61609,21.1,11.0,86.66667,95.3417,26.0,105.0,91.34467,0.0,100.0,4.5,91.0,1.75,99.54128,8.0,90.82552,47.5,69.11134,64.0,8.0,80.0,7.0,100.0,2.0,20.0,8.0,80.0,3.0,42.85714,4.0,66.66667,32.0,76.3735,5.2,65.02351,0.0,4.0,5.5,20.0,66.66667,7.0,3.5,0.5,78.79213,2.5,8.0,3.0,5.0,1.0,82.5,88.83427,11.0,68.75,1.0,96.46932,0.7,99.65202,0.7,99.65202,0.0,100.0,3.0,88.23529,3.0,88.23529,2.5,97.98995,2.5,97.98995,35.5,7.0,39.0,4.0,70.64752,749.0,29.33962,264.0,34.0,525.0,56.25,100.0,85.71429,78.30189,96.4497,86.37993,98.74477
Austria,74.99933,13.0,86.66667,1.2,93.8148,2.0,3.0,83.33333,4.0,3.0,0.0,2.0,2.0,397.0,77.29508,75.4859,2.5,13.6,4.0,20.6,76.94038,2.0,6.5,4.5,0.5,90.0,30.0,13.0,72.22222,277.0,11.0,55.0,52.8,2.2,7.0,87.5,4.0,33.33333,87.70976,1.0,93.5,98.84628,0.0,1.0,1.0,3.0,8.9,1.0,7.0,87.5,0.69,0.73,3.0,78.70694,0.6,83.34136,34.2,12.0,85.0,98.54128,17.0,131.0,87.32612,0.0,100.0,2.0,96.0,2.5,98.16514,3.2,100.0,51.8,62.49802,70.0,7.0,70.0,6.0,85.71429,5.0,50.0,5.0,50.0,7.0,100.0,5.0,83.33333,35.0,79.97358,4.6,69.22448,0.0,8.0,5.0,23.0,76.66667,7.0,3.0,1.0,77.42594,2.5,10.0,2.0,5.5,1.0,80.0,86.10188,11.0,68.75,1.1,83.13357,5.1,97.4491,5.1,97.4491,12.5,96.86468,8.0,58.82353,8.0,58.82353,21.0,79.39698,21.0,79.39698,0.0,0.5,0.0,0.5,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
Azerbaijan,60.484,12.0,80.0,6.6,66.92736,0.0,3.0,83.33333,4.0,3.0,1.0,2.0,2.0,277.0,87.13115,65.6631,0.0,16.4,1.0,18.5,79.30259,1.5,1.1,3.0,1.0,90.0,27.0,5.5,30.55556,160.0,8.0,40.0,0.0,37.5,6.0,75.0,2.0,16.66667,69.2975,1.0,171.8,97.8784,0.0,1.0,1.0,3.0,6.1,0.0,5.0,62.5,0.96,1.68,2.0,66.82696,2.0,84.21396,24.8,6.0,95.0,83.78816,13.0,195.0,77.43431,0.0,100.0,7.5,85.0,3.0,97.24771,27.6,52.90495,39.8,80.63336,46.0,8.0,80.0,0.0,0.0,5.0,50.0,10.0,100.0,0.0,0.0,0.0,0.0,23.0,69.10372,9.0,40.23465,0.0,0.0,7.0,16.5,55.0,7.0,2.5,2.0,62.27485,3.0,12.0,3.0,5.0,0.0,40.2,43.2997,13.0,81.25,1.5,96.11055,1.6,99.222,1.6,99.222,0.0,100.0,3.0,88.23529,3.0,88.23529,3.5,96.98492,3.5,96.98492,29.4,33.0,30.1,38.0,75.12191,214.1,79.79784,250.0,37.5,300.0,75.0,200.0,71.42857,82.11041,81.06509,89.55453,84.51883
