Economy Name,Dealing with construction permits (DB16-20 methodology) - Score,Dealing with construction permits: Building quality control index (0-15) (DB16-20 methodology),Dealing with construction permits: Building quality control index (0-15) (DB16-20 methodology) - Score,Dealing with construction permits: Cost (% of Warehouse value),Dealing with construction permits: Cost (% of Warehouse value) - Score,Dealing with construction permits: Liability and insurance regimes index (0-2) (DB16-20 methodology),Dealing with construction permits: Procedures (number),Dealing with construction permits: Procedures (number) - Score,Dealing with construction permits: Professional certifications index (0-4) (DB16-20 methodology),Dealing with construction permits: Quality control after construction index (0-3) (DB16-20 methodology),Dealing with construction permits: Quality control before construction index (0-1) (DB16-20 methodology),Dealing with construction permits: Quality control during construction index (0-3) (DB16-20 methodology),Dealing with construction permits: Quality of building regulations index (0-2) (DB16-20 methodology),Dealing with construction permits: Time (days),Dealing with construction permits: Time (days)  - Score,Enforcing contracts (DB17-20 methodology) - Score,Enforcing contracts: Alternative dispute resolution (0-3) (DB16-20 methodology),Enforcing contracts: Attorney fees (% of claim),Enforcing contracts: Case management (0-6) (DB16-20 methodology),Enforcing contracts: Cost (% of claim),Enforcing contracts: Cost (% of claim) - Score,Enforcing contracts: Court automation (0-4) (DB17-20 methodology),Enforcing contracts: Court fees (% of claim),Enforcing contracts: Court structure and proceedings (0-5) (DB17-20 methodology),Enforcing contracts: Enforcement fees (% of claim),Enforcing contracts: Enforcement of judgment (days),Enforcing contracts: Filing and service (days),Enforcing contracts: Quality of the judicial processes index (0-18) (DB17-20 methodology),Enforcing contracts: Quality of the judicial processes index (0-19) (DB17-20 methodology) - Score,Enforcing contracts: Trial and judgment (days),Getting Credit total score (DB15-20 methodology),Getting credit (DB15-20 methodology) - Score,Getting credit: Credit bureau coverage (% of adults),Getting credit: Credit registry coverage (% of adults),Getting credit: Depth of credit information index (0-8) (DB15-20 methodology),Getting credit: Depth of credit information index (0-8) (DB15-20 methodology) - Score,Getting credit: Strength of legal rights index (0-12) (DB15-20 methodology),Getting credit: Strength of legal rights index (0-12) (DB15-20 methodology) - Score,Getting electricity (DB16-20 methodology) - Score,Getting electricity: Communication of tariffs and tariff changes (0-1) (DB16-20 methodology),Getting electricity: Cost to get electricity (% of income per capita),Getting electricity: Cost to get electricity (% of income per capita) - Score,Getting electricity: Financial deterrents aimed at limiting outages (0-1) (DB16-20 methodology),Getting electricity: Mechanisms for monitoring outages (0-1) (DB16-20 methodology),Getting electricity: Mechanisms for restoring service (0-1) (DB16-20 methodology),Getting electricity: Minimum outage time (in minutes)  (DB16-20 methodology),Getting electricity: Price of electricity (US cents per kWh) (DB16-20 methodology),Getting electricity: Regulatory monitoring (0-1) (DB16-20 methodology),Getting electricity: Reliability of supply and transparency of tariff index (0-8) (DB16-20 methodology),Getting electricity: Reliability of supply and transparency of tariff index (0-8) (DB16-20 methodology) - Score,Getting electricity: System average interruption duration index (SAIDI) (DB16-20 methodology),Getting electricity: System average interruption frequency index (SAIFI) (DB16-20 methodology),Getting electricity: Total duration and frequency of outages per customer a year (0-3) (DB16-20 methodology),Global: Ease of doing business score (DB17-20 methodology),Other taxes (% of profits),Paying taxes (DB17-20 methodology) - Score,Paying taxes: Labor tax and contributions (% of profits),Paying taxes: Payments (number per year),Paying taxes: Payments per year (number per year) - Score,Paying taxes: Postfiling index (0-100) (DB17-20 methodology) - Score,Paying taxes: Profit tax (% of profits),Paying taxes: Time (hours per year),Paying taxes: Time (hours per year) - Score,Paying taxes: Time to complete a corporate income tax correction (weeks) (DB17-20 methodology),Paying taxes: Time to complete a corporate income tax correction (weeks) (DB17-20 methodology) - Score,Paying taxes: Time to comply with VAT refund (hours) (DB17-20 methodology),Paying taxes: Time to comply with VAT refund (hours) (DB17-20 methodology) - Score,Paying taxes: Time to comply with corporate income tax correction (hours) (DB17-20 methodology),Paying taxes: Time to comply with corporate income tax correction (hours) (DB17-20 methodology) - Score,Paying taxes: Time to obtain VAT refund (weeks) (DB17-20 methodology),Paying taxes: Time to obtain VAT refund (weeks) (DB17-20 methodology) - Score,Paying taxes: Total tax and contribution rate (% of profit),Paying taxes: Total tax and contribution rate (% of profit) - Score,Protecting minority investors (DB15-20 methodology) - Score,Protecting minority investors: Ease of shareholder suits index (0-10) (DB15-20 methodology),Protecting minority investors: Ease of shareholder suits index (0-10) (DB15-20 methodology) - Score,Protecting minority investors: Extent of corporate transparency index (0-7) (DB15-20 methodology),Protecting minority investors: Extent of corporate transparency index (0-7) (DB15-20 methodology) - Score,Protecting minority investors: Extent of director liability index (0-10),Protecting minority investors: Extent of director liability index (0-10) - Score,Protecting minority investors: Extent of disclosure index (0-10),Protecting minority investors: Extent of disclosure index (0-10) - Score,Protecting minority investors: Extent of ownership and control index (0-7) (DB15-20 methodology),Protecting minority investors: Extent of ownership and control index (0-7) (DB15-20 methodology) - Score,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology),Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,Protecting minority investors: Strength of minority investor protection index (0-50) (DB15-20 methodology),Rank: Dealing with construction permits (1=most business-friendly regulations),Rank: Ease of doing business index (1=most business-friendly regulations),Rank: Enforcing contracts (1=most business-friendly regulations),Rank: Getting credit (1=most business-friendly regulations),Rank: Getting electricity (1=most business-friendly regulations),Rank: Paying taxes (1=most business-friendly regulations),Rank: Protecting minority investors (1=most business-friendly regulations),Rank: Registering property (1=most business-friendly regulations),Rank: Resolving insolvency (1=most business-friendly regulations),Rank: Starting a business (1=most business-friendly regulations),Rank: Trading across borders (1=most business-friendly regulations),Registering property (DB17-20 methodology) - Score,Registering property: Cost (% of property value),Registering property: Cost (% of property value) - Score,Registering property: Equal access to property rights index (-2-0) (DB17-20 methodology),Registering property: Geographic coverage index (0-8) (DB16-20 methodology),Registering property: Land dispute resolution index (0-8) (DB16-20 methodology),Registering property: Quality of land administration index (0-30) (DB17-20 methodology),Registering property: Quality of land administration index (0-30) (DB17-20 methodology) - Score,Registering property: Reliability of infrastructure index (0-8) (DB16-20 methodology),Registering property: Transparency of information index (0-6) (DB16-20 methodology),Reorganization proceedings index (0-3) (DB15-20 methodology),Resolving insolvency - Score,Resolving insolvency: Commencement of proceedings index (0-3) (DB15-20 methodology),Resolving insolvency: Cost (% of estate),Resolving insolvency: Creditor participation index (0-4) (DB15-20 methodology),Resolving insolvency: Management of debtor's assets index (0-6) (DB15-20 methodology),Resolving insolvency: Outcome (0 as piecemeal sale and 1 as going concern),Resolving insolvency: Recovery rate (cents on the dollar),Resolving insolvency: Recovery rate (cents on the dollar) - Score,Resolving insolvency: Strength of insolvency framework index (0-16),Resolving insolvency: Strength of insolvency framework index (0-16) - Score,Resolving insolvency: Time (years),Starting a business - Score,Starting a business: Cost - Men (% of income per capita),Starting a business: Cost - Men (% of income per capita) - Score,Starting a business: Cost - Women (% of income per capita),Starting a business: Cost - Women (% of income per capita) - Score,Starting a business: Minimum capital (% of income per capita),Starting a business: Paid-in Minimum capital (% of income per capita) - Score,Starting a business: Procedures required - Men (number),Starting a business: Procedures required - Men (number) - Score,Starting a business: Procedures required - Women (number),Starting a business: Procedures required - Women (number) - Score,Starting a business: Time - Men (days),Starting a business: Time - Men (days) - Score,Starting a business: Time - Women (days),Starting a business: Time - Women (days)- Score,Time to export: Border compliance (hours) (DB16-20 methodology),Time to export: Documentary compliance (hours) (DB16-20 methodology),Time to import: Border compliance (hours) (DB16-20 methodology),Time to import: Documentary compliance (hours) (DB16-20 methodology),Trading across borders (DB16-20 methodology) - Score,Trading across borders: Cost to export: Border compliance (USD) (DB16-20 methodology),Trading across borders: Cost to export: Border compliance (USD) (DB16-20 methodology) - Score,Trading across borders: Cost to export: Documentary compliance (USD) (DB16-20 methodology),Trading across borders: Cost to export: Documentary compliance (USD) (DB16-20 methodology) - Score,Trading across borders: Cost to import: Border compliance (USD) (DB16-20 methodology),Trading across borders: Cost to import: Border compliance (USD) (DB16-20 methodology) - Score,Trading across borders: Cost to import: Documentary compliance (USD) (DB16-20 methodology),Trading across borders: Cost to import: Documentary compliance (USD) (DB16-20 methodology) - Score,Trading across borders: Time to export: Border compliance (hours) (DB16-20 methodology) - Score,Trading across borders: Time to export: Documentary compliance (hours) (DB16-20 methodology) - Score,Trading across borders: Time to import: Border compliance (hours) (DB16-20 methodology) - Score,Trading across borders: Time to import: Documentary compliance (hours) (DB16-20 methodology) - Score
Afghanistan,34.53602,3.0,20.0,75.6,0.0,1.0,9.0,33.33333,0.0,0.0,1.0,0.0,1.0,1642.0,0.0,31.75645,2.0,24.0,1.0,29.0,67.49156,0.0,5.0,2.0,0.0,182.0,40.0,5.0,27.77778,1420.0,10.0,50.0,0.0,1.5,0.0,0.0,10.0,83.33333,44.20609,1.0,2546.4,68.56349,0.0,1.0,0.0,,18.0,0.0,0.0,0.0,,,0.0,44.06497,71.4,42.15851,0.0,19.0,73.33333,0.0,0.0,270.0,65.84235,33.1,0.0,,,111.0,0.0,,,71.4,29.45836,36.0,9.0,90.0,0.0,0.0,1.0,10.0,8.0,80.0,0.0,0.0,0.0,0.0,18.0,183.0,173.0,181.0,104.0,173.0,178.0,140.0,186.0,76.0,52.0,177.0,27.5,5.0,66.66667,0.0,0.0,3.0,3.0,10.0,0.0,0.0,2.0,51.8685,2.0,25.0,2.0,6.0,0.0,26.7,28.737,12.0,75.0,2.0,91.99116,6.8,96.5931,6.8,96.5931,0.0,100.0,4.0,82.35294,5.0,76.47059,8.0,92.46231,9.0,91.45729,48.0,228.0,96.0,324.0,30.63301,452.8,57.28512,344.4,13.88889,750.0,37.5,900.0,0.0,70.44025,0.0,65.94982,0.0
Albania,52.67715,13.0,86.66667,6.8,65.92091,2.0,5.0,66.66667,3.0,3.0,1.0,2.0,2.0,525.0,66.80328,53.51698,1.5,25.0,1.5,42.7,52.08099,1.0,5.7,3.5,12.0,180.0,45.0,7.5,41.66667,300.0,14.0,70.0,0.0,56.2,6.0,75.0,8.0,66.66667,70.97943,1.0,448.6,94.46121,1.0,1.0,1.0,5.0,9.4,1.0,5.0,62.5,33.46,22.0,0.0,67.74847,3.6,65.15272,18.8,35.0,46.66667,60.11142,14.1,252.0,68.62442,14.7,54.01786,9.0,82.0,18.0,69.72477,37.0,34.70307,36.6,85.20838,46.0,7.0,70.0,0.0,0.0,7.0,70.0,9.0,90.0,0.0,0.0,0.0,0.0,23.0,166.0,82.0,120.0,48.0,107.0,123.0,111.0,98.0,39.0,53.0,25.0,63.37749,8.9,40.45573,0.0,0.0,8.0,16.5,55.0,6.0,2.5,3.0,67.73092,3.0,10.0,2.0,6.0,0.0,44.6,47.96184,14.0,87.5,2.0,91.75909,10.8,94.58587,10.8,94.58587,0.0,100.0,5.0,76.47059,5.0,76.47059,4.5,95.9799,4.5,95.9799,9.0,6.0,10.0,8.0,96.29094,54.7,94.84245,10.0,97.5,77.3,93.55833,10.0,98.57143,94.96855,97.04142,96.77419,97.07113
Algeria,65.26224,12.0,80.0,6.5,67.30832,2.0,10.0,25.0,2.0,3.0,1.0,2.0,2.0,630.0,58.19672,54.78094,2.5,10.0,0.0,21.8,75.59055,0.0,7.4,3.0,4.4,219.0,21.0,5.5,30.55556,390.0,2.0,10.0,0.0,3.6,0.0,0.0,2.0,16.66667,72.13313,1.0,967.0,88.0615,0.0,1.0,1.0,3.0,2.1,1.0,5.0,62.5,4.24,9.85,1.0,48.59758,26.9,53.85141,31.1,27.0,60.0,49.77064,8.1,265.0,66.61515,0.0,100.0,,0.0,2.0,99.08257,,0.0,66.1,39.01985,20.0,5.0,50.0,0.0,0.0,1.0,10.0,4.0,40.0,0.0,0.0,0.0,0.0,10.0,121.0,157.0,113.0,181.0,102.0,158.0,179.0,165.0,81.0,152.0,172.0,44.268,7.1,52.90934,0.0,0.0,5.0,7.5,25.0,1.0,1.5,1.0,49.23743,3.0,7.0,1.0,2.0,0.0,50.8,54.72487,7.0,43.75,1.3,78.01386,11.3,94.34925,11.3,94.34925,0.0,100.0,12.0,35.29412,12.0,35.29412,18.0,82.41206,18.0,82.41206,80.0,149.1,209.6,96.0,38.42879,592.9,44.06709,374.4,6.38889,408.8,65.93519,399.8,42.88889,50.31447,12.3415,25.24322,60.25105
Angola,65.32993,6.0,40.0,1.0,94.85288,1.0,6.0,58.33333,1.0,2.0,1.0,0.0,1.0,1296.0,3.60656,28.11028,2.5,22.2,1.5,44.4,50.16873,0.0,22.2,1.5,0.0,440.0,86.0,5.5,30.55556,770.0,1.0,5.0,0.0,1.5,0.0,0.0,1.0,8.33333,54.07276,0.0,623.3,92.30552,1.0,0.0,0.0,3.0,3.7,1.0,2.0,25.0,12.79,8.5,0.0,41.28838,18.6,69.53697,9.0,31.0,53.33333,94.95413,21.5,287.0,63.21484,0.0,100.0,,,7.0,89.90826,,,49.1,66.64559,32.0,6.0,60.0,0.0,0.0,6.0,60.0,4.0,40.0,0.0,0.0,0.0,0.0,16.0,120.0,177.0,186.0,185.0,156.0,106.0,147.0,167.0,168.0,146.0,174.0,43.28172,2.7,81.89084,0.0,0.0,4.0,7.0,23.33333,1.0,2.0,0.0,0.0,2.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,79.4006,11.1,94.45725,11.1,94.45725,0.0,100.0,8.0,58.82353,8.0,58.82353,36.0,64.32161,36.0,64.32161,164.0,96.0,72.0,96.0,36.15152,825.0,22.16981,240.0,40.0,1030.0,14.16667,460.0,34.28571,0.0,43.78698,74.55197,60.25105
Antigua and Barbuda,65.73645,9.0,60.0,1.4,92.95157,0.0,7.0,50.0,4.0,2.0,0.0,1.0,2.0,476.0,70.81967,68.11245,2.5,17.5,3.0,27.1,69.6288,1.5,7.0,4.5,2.6,90.0,21.0,11.5,63.88889,365.0,5.0,25.0,0.0,0.0,0.0,0.0,5.0,41.66667,83.53704,1.0,101.3,98.7496,0.0,1.0,1.0,1.0,44.9,0.0,5.0,62.5,1.5,2.12,2.0,60.28342,5.3,58.87984,12.1,57.0,10.0,69.40358,25.5,177.0,80.21638,0.0,100.0,12.0,76.0,3.0,97.24771,52.7,4.366612,43.0,75.89938,58.0,8.0,80.0,2.0,28.57143,8.0,80.0,4.0,40.0,4.0,57.14286,3.0,50.0,29.0,117.0,113.0,36.0,165.0,50.0,145.0,79.0,124.0,132.0,130.0,112.0,56.67091,10.8,28.18284,0.0,4.0,7.5,19.0,63.33333,6.0,1.5,0.0,35.58704,2.0,7.0,1.0,2.0,0.0,37.1,39.92408,5.0,31.25,3.0,82.58503,8.0,95.99189,8.0,95.99189,0.0,100.0,9.0,52.94118,9.0,52.94118,19.0,81.40704,19.0,81.40704,61.3,50.7,61.3,48.0,68.72541,546.4,48.45388,120.8,69.79167,546.4,54.46759,100.0,85.71429,62.05451,70.61144,78.37515,80.33473
Argentina,56.44015,11.0,73.33333,3.1,84.57712,1.0,7.0,50.0,2.0,3.0,1.0,2.0,2.0,995.0,28.27869,57.50876,2.0,15.0,4.0,22.5,74.80315,2.0,6.5,4.5,1.0,365.0,90.0,12.5,69.44444,540.0,10.0,50.0,100.0,48.1,8.0,100.0,2.0,16.66667,70.03364,1.0,15.5,99.80849,1.0,1.0,1.0,3.0,10.8,1.0,5.0,62.5,4.51,14.39,0.0,58.96151,72.8,49.34098,29.9,9.0,90.0,47.93578,3.6,311.5,59.42813,0.0,100.0,,0.0,6.0,91.74312,,0.0,106.3,0.0,62.0,6.0,60.0,5.0,71.42857,2.0,20.0,7.0,70.0,5.0,71.42857,6.0,100.0,31.0,155.0,126.0,97.0,104.0,111.0,170.0,61.0,123.0,111.0,141.0,119.0,56.73293,6.6,56.09441,0.0,2.0,4.0,13.5,45.0,5.0,2.5,2.0,40.03245,2.5,16.5,1.0,4.0,0.0,19.2,20.6899,9.5,59.375,2.4,80.43345,5.0,97.49495,5.0,97.49495,0.0,100.0,12.0,35.29412,12.0,35.29412,11.5,88.94472,11.5,88.94472,21.0,25.0,60.0,166.0,67.09272,150.0,85.84906,60.0,85.0,1200.0,0.0,120.0,82.85714,87.42138,85.79882,78.85305,30.96234
Armenia,73.05354,12.0,80.0,1.3,93.25164,0.0,3.0,83.33333,4.0,3.0,1.0,2.0,2.0,570.0,63.11475,69.70613,3.0,12.0,3.0,16.0,82.11474,2.0,4.0,3.5,0.0,120.0,30.0,11.5,63.88889,420.0,14.0,70.0,82.5,0.0,8.0,100.0,6.0,50.0,87.67182,1.0,67.6,99.16553,1.0,1.0,1.0,5.0,7.7,1.0,6.0,75.0,10.86,7.2,1.0,74.49401,0.8,81.54948,0.0,15.0,80.0,79.4282,21.8,264.0,66.76971,0.0,100.0,14.75,70.5,3.5,96.33028,28.6,50.88252,22.6,100.0,42.0,8.0,80.0,0.0,0.0,6.0,60.0,7.0,70.0,0.0,0.0,0.0,0.0,21.0,62.0,47.0,30.0,48.0,30.0,52.0,120.0,13.0,95.0,10.0,43.0,88.59249,0.1,99.38589,0.0,4.0,7.0,22.5,75.0,7.0,4.5,2.0,44.5539,2.5,11.0,1.0,2.0,0.0,39.2,42.23281,7.5,46.875,1.9,96.08549,0.8,99.62426,0.8,99.62426,0.0,100.0,3.0,88.23529,3.0,88.23529,4.0,96.48241,4.0,96.48241,26.5,2.0,2.5,1.6,91.72722,100.0,90.56604,100.0,75.0,0.0,100.0,100.0,85.71429,83.93807,99.40828,99.44858,99.74252
Australia,84.74293,14.0,93.33333,0.6,96.87182,1.0,4.0,75.0,4.0,3.0,1.0,3.0,2.0,402.0,76.88525,79.00404,2.5,18.5,5.5,23.2,74.01575,3.0,4.5,4.5,0.2,60.0,14.0,15.5,86.11111,328.0,19.0,95.0,100.0,0.0,8.0,100.0,11.0,91.66667,82.30874,1.0,12.1,99.85089,1.0,1.0,1.0,3.0,20.4,1.0,7.0,87.5,1.0,0.6,2.0,81.21506,0.3,85.67368,21.0,11.0,86.66667,95.3417,26.1,105.0,91.34467,0.0,100.0,4.5,91.0,1.75,99.54128,8.0,90.82552,47.4,69.3417,64.0,8.0,80.0,7.0,100.0,2.0,20.0,8.0,80.0,3.0,42.85714,4.0,66.66667,32.0,11.0,14.0,6.0,4.0,62.0,28.0,57.0,42.0,20.0,7.0,106.0,75.66391,5.4,64.33029,0.0,4.0,5.5,19.5,65.0,7.0,3.0,0.5,78.8593,2.5,8.0,3.0,5.0,1.0,82.7,88.9686,11.0,68.75,1.0,96.59675,0.7,99.65926,0.7,99.65926,0.0,100.0,3.0,88.23529,3.0,88.23529,2.0,98.49246,2.0,98.49246,35.5,7.0,39.0,4.0,70.30122,766.0,27.73585,264.0,34.0,539.0,55.08333,100.0,85.71429,78.30189,96.4497,86.37993,98.74477
Austria,75.12558,13.0,86.66667,1.1,94.31982,2.0,3.0,83.33333,4.0,3.0,0.0,2.0,2.0,397.0,77.29508,75.4859,2.5,13.6,4.0,20.6,76.94038,2.0,6.5,4.5,0.5,90.0,30.0,13.0,72.22222,277.0,11.0,55.0,53.5,2.2,7.0,87.5,4.0,33.33333,87.73331,1.0,85.8,98.94048,0.0,1.0,1.0,3.0,10.2,1.0,7.0,87.5,0.63,0.61,3.0,78.74549,0.6,83.49503,33.7,12.0,85.0,98.54128,17.1,131.0,87.32612,0.0,100.0,2.0,96.0,2.5,98.16514,3.2,100.0,51.4,63.11272,70.0,7.0,70.0,6.0,85.71429,5.0,50.0,5.0,50.0,7.0,100.0,5.0,83.33333,35.0,49.0,27.0,10.0,94.0,29.0,44.0,37.0,31.0,22.0,127.0,1.0,79.9756,4.6,69.23253,0.0,8.0,5.0,23.0,76.66667,7.0,3.0,1.0,77.3898,2.5,10.0,2.0,5.5,1.0,79.9,86.02959,11.0,68.75,1.1,83.24964,4.7,97.65738,4.7,97.65738,11.5,97.12068,8.0,58.82353,8.0,58.82353,21.0,79.39698,21.0,79.39698,0.0,0.5,0.0,0.5,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
Azerbaijan,73.35785,12.0,80.0,1.7,91.36798,0.0,4.0,75.0,4.0,3.0,1.0,2.0,2.0,277.0,87.13115,70.29273,1.5,16.4,1.0,18.5,79.30259,2.5,1.1,3.0,1.0,90.0,27.0,8.0,44.44444,160.0,20.0,100.0,44.6,0.0,8.0,100.0,12.0,100.0,77.32033,1.0,125.7,98.448,0.0,1.0,1.0,3.0,4.8,1.0,7.0,87.5,0.86,0.96,3.0,76.70888,2.6,84.01923,25.4,9.0,90.0,83.78816,12.7,159.0,82.99845,0.0,100.0,7.5,85.0,3.0,97.24771,27.6,52.90495,40.7,79.29031,50.0,8.0,80.0,0.0,0.0,7.0,70.0,10.0,100.0,0.0,0.0,0.0,0.0,25.0,59.0,34.0,28.0,1.0,80.0,40.0,105.0,44.0,47.0,9.0,83.0,75.35658,7.0,53.10096,0.0,4.0,7.5,22.5,75.0,8.0,3.0,1.5,63.54131,3.0,12.0,3.0,6.0,0.0,39.7,42.70762,13.5,84.375,1.5,96.15716,1.2,99.40842,1.2,99.40842,0.0,100.0,3.0,88.23529,3.0,88.23529,3.5,96.98492,3.5,96.98492,17.4,33.0,14.1,33.0,77.04366,214.1,79.79784,250.0,37.5,300.0,75.0,200.0,71.42857,89.65758,81.06509,95.2893,86.61088
