Country Name,"Adjusted net enrollment rate, primary (% of primary school age children)","Adjusted net enrollment rate, primary, female (% of primary school age children)","Adjusted net enrollment rate, primary, male (% of primary school age children)",Adolescents out of school (% of lower secondary school age),"Adolescents out of school, female (% of female lower secondary school age)","Adolescents out of school, male (% of male lower secondary school age)",Average number of visits or required meetings with tax officials (for affected firms),Average time to clear exports through customs (days),Bribery incidence (% of firms experiencing at least one bribe payment request),Business extent of disclosure index (0=less disclosure to 10=more disclosure),Children out of school (% of primary school age),"Children out of school, female (% of female primary school age)","Children out of school, male (% of male primary school age)","Children out of school, primary","Children out of school, primary, female","Children out of school, primary, male","Compulsory education, duration (years)",Consumer price index (2010 = 100),"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",Cost of business start-up procedures (% of GNI per capita),"Cost of business start-up procedures, female (% of GNI per capita)","Cost of business start-up procedures, male (% of GNI per capita)","Cost to export, border compliance (US$)","Cost to export, documentary compliance (US$)","Cost to import, border compliance (US$)","Cost to import, documentary compliance (US$)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)",Depth of credit information index (0=low to 8=high),Diabetes prevalence (% of population ages 20 to 79),Ease of doing business index (1=most business-friendly regulations),Ease of doing business score (0 = lowest performance to 100 = best performance),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (national estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (national estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, total (%) (national estimate)",Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),Female share of employment in senior and middle management (%),Firms competing against unregistered firms (% of firms),Firms expected to give gifts in meetings with tax officials (% of firms),Firms experiencing electrical outages (% of firms),Firms experiencing losses due to theft and vandalism (% of firms),Firms formally registered when operations started (% of firms),Firms offering formal training (% of firms),Firms that spend on R&D (% of firms),Firms using banks to finance investment (% of firms),Firms using banks to finance working capital (% of firms),Firms visited or required meetings with tax officials (% of firms),Firms with female participation in ownership (% of firms),Firms with female top manager (% of firms),GDP per person employed (constant 2011 PPP $),"Government expenditure on education, total (% of government expenditure)","Gross intake ratio in first grade of primary education, female (% of relevant age group)","Gross intake ratio in first grade of primary education, male (% of relevant age group)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Inflation, consumer prices (annual %)",Informal employment (% of total non-agricultural employment),"Informal employment, female (% of total non-agricultural employment)","Informal employment, male (% of total non-agricultural employment)",Informal payments to public officials (% of firms),"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, male (%) (national estimate)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, total (%) (national estimate)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15+) (national estimate)","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (national estimate)","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (national estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Labor force with advanced education (% of total working-age population with advanced education),"Labor force with advanced education, female (% of female working-age population with advanced education)","Labor force with advanced education, male (% of male working-age population with advanced education)",Labor force with basic education (% of total working-age population with basic education),"Labor force with basic education, female (% of female working-age population with basic education)","Labor force with basic education, male (% of male working-age population with basic education)",Labor force with intermediate education (% of total working-age population with intermediate education),"Labor force with intermediate education, female (% of female working-age population with intermediate education)","Labor force with intermediate education, male (% of male working-age population with intermediate education)","Labor force, female (% of total labor force)","Labor force, total",Labor tax and contributions (% of commercial profits),Liner shipping connectivity index (maximum value in 2004 = 100),Losses due to theft and vandalism (% of annual sales of affected firms),"Lower secondary completion rate, female (% of relevant age group)","Lower secondary completion rate, male (% of relevant age group)","Lower secondary completion rate, total (% of relevant age group)",Lower secondary school starting age (years),Methodology assessment of statistical capacity (scale 0 - 100),Net intake rate in grade 1 (% of official school-age population),"Net intake rate in grade 1, female (% of official school-age population)","Net intake rate in grade 1, male (% of official school-age population)",Other taxes payable by businesses (% of commercial profits),"Over-age students, primary (% of enrollment)","Over-age students, primary, female (% of female enrollment)","Over-age students, primary, male (% of male enrollment)","Part time employment, female (% of total female employment)","Part time employment, male (% of total male employment)","Part time employment, total (% of total employment)",Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),Poverty headcount ratio at national poverty lines (% of population),Power outages in firms in a typical month (number),"Preprimary education, duration (years)","Prevalence of overweight, weight for height (% of children under 5)","Prevalence of overweight, weight for height, female (% of children under 5)","Prevalence of overweight, weight for height, male (% of children under 5)","Prevalence of severe wasting, weight for height (% of children under 5)","Prevalence of severe wasting, weight for height, female (% of children under 5)","Prevalence of severe wasting, weight for height, male (% of children under 5)","Prevalence of stunting, height for age (% of children under 5)","Prevalence of stunting, height for age, female (% of children under 5)","Prevalence of stunting, height for age, male (% of children under 5)","Prevalence of underweight, weight for age (% of children under 5)","Prevalence of underweight, weight for age, female (% of children under 5)","Prevalence of underweight, weight for age, male (% of children under 5)","Prevalence of wasting, weight for height (% of children under 5)","Prevalence of wasting, weight for height, female (% of children under 5)","Prevalence of wasting, weight for height, male (% of children under 5)","Primary completion rate, female (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Primary education, duration (years)","Primary education, pupils","Primary education, pupils (% female)","Primary education, teachers","Primary education, teachers (% female)",Primary school starting age (years),Private credit bureau coverage (% of adults),Procedures to build a warehouse (number),Procedures to register property (number),Profit tax (% of commercial profits),Proportion of seats held by women in national parliaments (%),Public credit registry coverage (% of adults),"Pupil-teacher ratio, lower secondary","Pupil-teacher ratio, preprimary","Pupil-teacher ratio, primary","Pupil-teacher ratio, secondary","Pupil-teacher ratio, tertiary","Pupil-teacher ratio, upper secondary",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Ratio of female to male labor force participation rate (%) (national estimate),"Repeaters, primary, female (% of female enrollment)","Repeaters, primary, male (% of male enrollment)","Repeaters, primary, total (% of total enrollment)","School enrollment, preprimary (% gross)","School enrollment, preprimary, female (% gross)","School enrollment, preprimary, male (% gross)","School enrollment, primary (% gross)","School enrollment, primary (% net)","School enrollment, primary (gross), gender parity index (GPI)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, primary, female (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, male (% gross)","School enrollment, primary, male (% net)","School enrollment, primary, private (% of total primary)","School enrollment, secondary (% gross)","School enrollment, secondary (% net)","School enrollment, secondary (gross), gender parity index (GPI)","School enrollment, secondary, female (% gross)","School enrollment, secondary, female (% net)","School enrollment, secondary, male (% gross)","School enrollment, secondary, male (% net)","School enrollment, secondary, private (% of total secondary)","School enrollment, tertiary (% gross)","School enrollment, tertiary (gross), gender parity index (GPI)","School enrollment, tertiary, female (% gross)","School enrollment, tertiary, male (% gross)","Secondary education, duration (years)","Secondary education, general pupils","Secondary education, general pupils (% female)","Secondary education, pupils","Secondary education, pupils (% female)","Secondary education, teachers","Secondary education, teachers (% female)","Secondary education, teachers, female","Secondary education, vocational pupils","Secondary education, vocational pupils (% female)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Share of youth not in education, employment or training, female (% of female youth population)","Share of youth not in education, employment or training, male (% of male youth population)","Share of youth not in education, employment or training, total (% of youth population)",Source data assessment of statistical capacity (scale 0 - 100),Start-up procedures to register a business (number),"Start-up procedures to register a business, female (number)","Start-up procedures to register a business, male (number)",Statistical Capacity score (Overall average),Strength of legal rights index (0=weak to 12=strong),Tax payments (number),"Tertiary education, academic staff (% female)",Time required to build a warehouse (days),Time required to enforce a contract (days),Time required to get electricity (days),Time required to obtain an operating license (days),Time required to register property (days),Time required to start a business (days),"Time required to start a business, female (days)","Time required to start a business, male (days)",Time spent dealing with the requirements of government regulations (% of senior management time),"Time to export, border compliance (hours)","Time to export, documentary compliance (hours)","Time to import, border compliance (hours)","Time to import, documentary compliance (hours)",Time to obtain an electrical connection (days),Time to prepare and pay taxes (hours),Time to resolve insolvency (years),Total tax and contribution rate (% of profit),Trained teachers in lower secondary education (% of total teachers),"Trained teachers in lower secondary education, female (% of female teachers)","Trained teachers in lower secondary education, male (% of male teachers)",Trained teachers in preprimary education (% of total teachers),"Trained teachers in preprimary education, female (% of female teachers)","Trained teachers in preprimary education, male (% of male teachers)",Trained teachers in primary education (% of total teachers),"Trained teachers in primary education, female (% of female teachers)","Trained teachers in primary education, male (% of male teachers)",Trained teachers in secondary education (% of total teachers),"Trained teachers in secondary education, female (% of female teachers)","Trained teachers in secondary education, male (% of male teachers)",Trained teachers in upper secondary education (% of total teachers),"Trained teachers in upper secondary education, female (% of female teachers)","Trained teachers in upper secondary education, male (% of male teachers)",Unemployment with advanced education (% of total labor force with advanced education),"Unemployment with advanced education, female (% of female labor force with advanced education)","Unemployment with advanced education, male (% of male labor force with advanced education)",Unemployment with basic education (% of total labor force with basic education),"Unemployment with basic education, female (% of female labor force with basic education)","Unemployment with basic education, male (% of male labor force with basic education)",Unemployment with intermediate education (% of total labor force with intermediate education),"Unemployment with intermediate education, female (% of female labor force with intermediate education)","Unemployment with intermediate education, male (% of male labor force with intermediate education)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, female (% of female labor force) (national estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",Value lost due to electrical outages (% of sales for affected firms),"Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
Afghanistan,,,,,,,,,,8.0,,,,,,,9.0,,67.2900009155273,11.9029998779297,23.3959999084473,0.0,6.8,6.8,452.8,344.4,750.0,900.0,,,,,0.0,9.2,173.0,44.06497,2.22300004959106,2.70099997520447,2.60199999809265,42.8390007019043,65.2300033569336,36.976001739502,18.1620006561279,24.6909999847412,16.4519996643066,38.9990005493164,10.0790004730225,46.5719985961914,18.5709991455078,,66.9449996948242,,43.4560012817383,,16.0799999237061,,49.4449996948242,,33.2249984741211,,,,,,,,,,,,,,,,,,6984.89794921875,,,,,,,,,,20.4039993286133,,59.0069999694824,,40.2410011291504,,21.5949993133545,,22.5669994354248,74.6579971313477,,76.5410003662109,48.8919982910156,,50.4630012512207,,,,,,,,,,21.448625055785186,10699525.0,0.0,,,,,,13.0,40.0,,,,71.4,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,7.0,0.0,13.0,9.0,0.0,27.87,1.5,,,,,,,28.925232584744904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,92.1149978637695,79.765998840332,82.3280029296875,,,,40.0,4.0,5.0,4.0,50.0,10.0,19.0,,199.0,1642.0,114.0,,250.0,8.5,9.0,8.0,,48.0,228.0,96.0,324.0,,270.0,2.0,71.4,,,,,,,,,,,,,,,,,,,,,,,,,14.003999710083,,10.331000328064,,11.1180000305176,,21.1919994354248,,16.2040004730225,,17.4340000152588,,,89.8930015563964,77.0650024414063,79.72600173950201,7.88500022888184,20.2339992523193,17.6720008850098
Albania,,,,,,,5.7,1.1,36.1,9.0,,,,,,,,119.049258384381,36.9959983825684,20.443000793457,27.3649997711182,0.0,10.8,10.8,54.7,10.0,77.3,10.0,,,,,6.0,9.0,82.0,67.74847,1.02199995517731,3.59100008010864,2.51699995994568,36.6910018920898,40.701000213623,33.8089981079102,20.0049991607666,15.9779996871948,22.8990001678467,43.3040008544922,43.3199996948242,43.2919998168945,41.2919998168945,,56.2729988098145,,48.8600006103516,,18.1159992218018,,25.5830001831055,,22.0060005187988,,,,,,44.7,34.6,58.7,5.7,92.6,46.2,15.4,21.5,30.4,93.2,20.7,18.1,31421.380859375,,,,,1.41109078954244,,,,31.6,23.9340000152588,,36.7700004577637,,30.621000289917,,46.7120018005371,,56.4939994812012,64.568000793457,,76.0130004882813,55.7319984436035,,66.4560012817383,,,,,,,,,,41.482980661254466,1319734.0,18.8,3.5837128647,4.5,,,,11.0,60.0,,,,3.6,,,,,,,76.6667,,1.5,,,,,,,,,,,,,,,,,,,,5.0,,,,,6.0,0.0,19.0,5.0,14.1,29.51,56.2,,,,,,,72.34543617040511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,53.7900009155273,56.5029983520508,55.3689994812012,,,,80.0,5.0,5.0,5.0,72.2222333333333,8.0,35.0,,324.0,525.0,71.0,10.9,19.0,4.5,4.5,4.5,2.3,9.0,6.0,10.0,8.0,18.6,252.0,2.0,36.6,,,,,,,,,,,,,,,,,,,,,,,,,11.6040000915527,,12.8459997177124,,12.331000328064,,24.3080005645752,,30.4230003356934,,28.132999420166,,1.9,52.7689981460572,52.912002563476506,52.851999282837,46.2099990844727,43.4970016479492,44.6310005187988
Algeria,,,,,,,,,,4.0,,,,,,,,151.361667767746,2.34599995613098,1.77300000190735,1.86300003528595,0.0,11.3,11.3,592.9,374.4,408.8,399.8,,,,,0.0,6.7,157.0,48.59758,2.05200004577637,5.09700012207031,4.61700010299683,9.85599994659424,3.53500008583069,11.0380001068115,30.7339992523193,23.6009998321533,32.0690002441406,59.4099998474121,72.8629989624023,56.8940010070801,11.5150003433228,,60.867000579834,,36.3330001831055,,4.51999998092651,,30.738000869751,,17.8950004577637,,,,,,,,,,,,,,,,,,55361.0859375,,,,,1.95176821052894,,,,,8.41600036621094,,41.6790008544922,,25.3850002288818,,14.5909996032715,,16.1089992523193,67.4039993286133,,73.5619964599609,41.1500015258789,,45.0769996643066,,,,,,,,,,17.627051695201096,12303850.0,31.1,12.8111044479,,,,,11.0,50.0,,,,26.9,,,,,,,76.6666,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,6.0,0.0,19.0,10.0,8.1,25.76,3.6,,,,,,,21.64708288618945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,25.3519992828369,32.7809982299805,31.6110000610352,,,,20.0,12.0,12.0,12.0,48.8888666666667,2.0,27.0,,131.0,630.0,84.0,,55.0,18.0,18.0,18.0,,80.0,149.1,209.6,96.0,,265.0,1.3,66.1,,,,,,,,,,,,,,,,,,,,,,,,,21.0799999237061,,9.69799995422363,,11.7040004730225,,46.2929992675781,,26.2509994506836,,29.5060005187988,,,23.300999879837082,27.683999300003048,26.99299919605255,74.6480026245117,67.2190017700195,68.3889999389648
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4701301289,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,6.0,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,4.0,,,,,,,6.0,,10.1040000915527,7.54300022125244,8.82900047302246,0.0,11.1,11.1,825.0,240.0,1030.0,460.0,,,,,0.0,4.5,177.0,41.28838,2.59500002861023,5.94199991226196,4.26100015640259,50.3800010681152,56.3629989624023,44.3429985046387,8.12199974060059,1.10500001907349,15.2019996643066,41.4980010986328,42.5320014953613,40.4550018310547,70.8509979248047,,73.5240020751953,,72.1569976806641,,49.4799995422363,,45.4640007019043,,47.492000579834,,,,,,,,,,,,,,,,,,14335.5302734375,,,,,,,,,,58.3689994812012,,54.6459999084473,,56.5260009765625,,76.1360015869141,,76.8939971923828,78.9130020141602,,79.1360015869141,77.4929962158203,,77.9929962158203,,,,,,,,,,50.25220839970497,13164510.0,9.0,25.8626087565,,,,,12.0,30.0,,,,18.6,,,,,,,66.6667,,,5.0,,,,,,,,,,,,,,,,,,,6.0,,,,,6.0,0.0,12.0,6.0,21.5,30.0,1.5,,,,,,,96.48093424864538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,82.2399978637695,58.1660003662109,70.2570037841797,,,,40.0,8.0,8.0,8.0,45.5555666666667,1.0,31.0,,184.0,1296.0,97.0,,190.0,36.0,36.0,36.0,,164.0,96.0,72.0,96.0,,287.0,,49.1,,,,,,,,,,,,,,,,,,,,,,,,,6.94199991226196,,6.82999992370605,,6.88600015640259,,15.2279996871948,,16.8020000457764,,15.9820003509521,,,79.6450004577636,52.223999977111845,65.99500083923336,17.7600002288818,41.8339996337891,29.7430000305176
Antigua and Barbuda,,,,,,,,,,4.0,,,,,,,,,,,,0.0,8.0,8.0,546.4,120.8,546.4,100.0,,,,,0.0,13.1,113.0,60.28342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,5.3165155254,,,,,12.0,30.0,,,,5.3,,,,,,,63.3334,,,5.0,,,,,,,,,,,,,,,,,,,7.0,,,,,5.0,0.0,19.0,7.0,25.5,11.11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,60.0,9.0,9.0,9.0,51.1111333333333,5.0,57.0,,144.0,476.0,42.0,,32.0,19.0,19.0,19.0,,61.3,50.7,61.3,48.0,,177.0,3.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,2.2454545454545456,8.83,22.863636363636363,6.045454545454546,,,,,,,,,19.41381523418461,4.739394647453357,7.45339211227439,8.845454545454546,27.79545454545455,27.79545454545455,498.5428571428572,261.04761904761904,582.7095238095238,291.0095238095238,,,,,4.545454545454546,12.535972883662163,,56.54322363636365,1.510076333186464,6.045912935752889,5.20703260295739,20.1818798858205,29.024023095435563,18.175561594417115,24.82581517026304,9.429397084749974,28.319394608147398,54.99233892863745,61.546386763188806,53.505346644456075,16.625753671896483,,67.206484936064,,43.00666424205331,,8.150131058408098,,32.09951920002931,,20.468755100588925,,,,,,53.50909090909091,16.92727272727273,62.27272727272727,9.772727272727273,87.86363636363636,21.70909090909091,19.270000000000003,20.254545454545454,21.427272727272722,59.80909090909092,20.87272727272727,4.736363636363636,52455.88257200499,,,,,,,,,18.809090909090912,13.242300003484177,,41.58555742097742,,27.820751037097,,20.770224395223995,,22.21847476096708,72.91123232400827,,76.23035818593057,47.964863308195405,,50.602498256539874,,,,,,,,,,20.718376120165463,138182934.0,15.533333333333339,,6.945454545454546,,,,,,,,,15.571428571428571,,,,,,,,,14.509090909090908,,,,,,,,,,,,,,,,,,,,6.0,,,,,,12.20909090909091,15.333333333333334,5.142857142857143,11.414285714285715,18.00194472616633,10.045454545454549,,,,,,,31.09510648621803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,34.30550157523686,29.734828704595937,30.580232456022454,,,,,6.636363636363637,7.181818181818182,6.590909090909091,,3.1363636363636362,19.476190476190474,,125.44444444444444,622.2727272727273,64.1,24.44545454545454,35.04761904761905,19.654545454545453,20.0,19.40909090909091,8.963636363636363,57.59047619047618,74.62857142857143,95.98571428571428,77.82857142857144,39.488888888888894,202.1904761904762,2.7266666666666666,42.51428571428571,,,,,,,,,,,,,,,,,,,,,,,,,19.953930839020536,,7.824211144361487,,10.337095420317741,,41.78802897744979,,23.44116114364065,,27.170073171750165,,5.336363636363637,32.795327679377465,23.68914775887655,25.37321927453809,65.6944987771666,70.26517157967416,69.4197679019782
Argentina,,,,,,,,,,7.0,,,,,,,,,0.779999971389771,0.368000000715256,0.542999982833862,0.0,5.0,5.0,150.0,60.0,1200.0,120.0,,,,,8.0,5.9,126.0,58.96151,2.60899996757507,4.86399984359741,3.90700006484985,0.0920000001788139,0.0489999987185001,0.123999997973442,21.4109992980957,8.82900047302246,30.6809997558594,78.4970016479492,91.1220016479492,69.1949996948242,45.1809997558594,,66.2310028076172,,55.3009986877441,,22.2290000915527,,35.1399993896484,,28.7819995880127,,,,,,,,,,,,,,,,,,42085.99609375,,,,,,,,,,31.4400005340576,,45.4599990844727,,38.5559997558594,,50.7210006713867,,59.0050010681152,72.7300033569336,,79.6949996948242,61.3019981384277,,69.2129974365234,,,,,,,,,,42.96190925972697,20755018.0,29.9,31.4812238721,,,,,12.0,60.0,,,,72.8,,,,,,,90.0,,,,10.0,,,,,,7.9,,,1.7,,,1.6,,,,,,6.0,,,,,6.0,100.0,17.0,7.0,3.6,38.91,48.1,,,,,,,69.73875750076024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,22.7099990844727,27.9249992370605,25.7129993438721,,,,80.0,12.0,12.0,12.0,76.6666666666667,2.0,9.0,,318.0,995.0,92.0,,51.5,11.5,11.5,11.5,,21.0,25.0,60.0,166.0,,311.5,2.4,106.3,,,,,,,,,,,,,,,,,,,,,,,,,10.9219999313354,,8.9350004196167,,9.78899955749512,,29.2959995269775,,22.6989994049072,,25.3479995727539,,,20.09999966621397,23.061000794172255,21.80499911308286,77.2900009155273,72.0749969482422,74.2870025634766
Armenia,,,,,,,,,,7.0,,,,,,,,129.176007326748,3.17799997329712,1.27900004386902,2.15199995040894,0.0,0.8,0.8,100.0,100.0,0.0,100.0,,,,,8.0,6.1,47.0,74.49401,0.518999993801117,1.82400000095367,1.22399997711182,29.6380004882813,32.8330001831055,26.9160003662109,17.1749992370605,8.97200012207031,24.1630001068115,53.1870002746582,58.1940002441406,48.9210014343262,38.9329986572266,,54.8650016784668,,46.1730003356934,,17.7889995574951,,26.6599998474121,,22.4610004425049,,,,,,,,,,,,,,,,,,26540.330078125,,,,,1.44344660770702,,,,,30.8339996337891,,38.4029998779297,,34.8209991455078,,47.0740013122559,,55.6209983825684,65.8870010375977,,74.5849990844727,55.6240005493164,,64.4400024414063,,,,,,,,,,46.14155098797617,1303827.0,0.0,,,,,,10.0,90.0,,,,0.8,,,,,,,90.0001,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,6.0,82.5,20.0,3.0,21.8,24.24,0.0,,,,,,,71.44656847470358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,38.4189987182617,41.1469993591309,39.8919982910156,,,,90.0,3.0,3.0,3.0,90.0000333333333,6.0,15.0,,99.0,570.0,72.0,,8.0,4.0,4.0,4.0,,26.5,2.0,2.5,1.6,,264.0,1.9,22.6,,,,,,,,,,,,,,,,,,,,,,,,,17.2950000762939,,16.7290000915527,,16.9899997711182,,42.3079986572266,,30.5779991149902,,35.4939994812012,,,37.90000009536742,39.32399821281432,38.667998790740945,61.5810012817383,58.8530006408691,60.1080017089844
